,date,code,open,high,low,close,volume,amount
226,2017/5/9,sh.600519,404.44,409.88,398,408.76,5280192,2126236512
227,2017/5/10,sh.600519,408.4,414.44,407.02,410.09,2603938,1070652720
228,2017/5/11,sh.600519,408.4,414.7,406.51,412.16,3046764,1254053008
229,2017/5/12,sh.600519,413.59,415.3,410.01,413.47,2233742,921621376
230,2017/5/15,sh.600519,413.12,420.35,413.12,419.55,3344735,1398908208
231,2017/5/16,sh.600519,419.6,431.22,418.26,430.12,5016490,2145037952
232,2017/5/17,sh.600519,429,430.19,424.88,426.6,2751521,1174696176
233,2017/5/18,sh.600519,425.05,430.7,425.01,429.54,2430080,1040535488
234,2017/5/19,sh.600519,429.57,441.8,429.57,440.82,3831083,1672948416
235,2017/5/22,sh.600519,439.04,446.01,436.2,441.78,3532149,1560087952
236,2017/5/23,sh.600519,442.25,454.47,442.25,454.2,4845439,2178738032
237,2017/5/24,sh.600519,452.9,456.48,446,450.32,4022618,1812513088
238,2017/5/25,sh.600519,448.71,452.96,447.5,450.6,2889842,1299628592
239,2017/5/26,sh.600519,450.82,455.6,448,451.92,2738664,1237323136
240,2017/5/31,sh.600519,450,450.5,440.11,442.94,4431225,1968887168
241,2017/6/1,sh.600519,442.5,449.95,441.01,449.28,4060478,1808305712
242,2017/6/2,sh.600519,450,450.95,445.6,447.31,2178526,974893312
243,2017/6/5,sh.600519,448.04,449,442.35,444.41,1924120,854876928
244,2017/6/6,sh.600519,444.97,449,444.2,448.82,2040244,912438704
245,2017/6/7,sh.600519,449.12,460,449.12,459.37,3883430,1774212480
246,2017/6/8,sh.600519,461.32,464.4,458.5,464.31,2895111,1338443408
247,2017/6/9,sh.600519,464.24,470.8,463,465.74,3143076,1467836832
248,2017/6/12,sh.600519,467,475.44,465,472.88,3510916,1654502000
249,2017/6/13,sh.600519,473.05,474.5,467,473.04,2423798,1141536368
250,2017/6/14,sh.600519,472.79,477.5,470.48,474.39,3376863,1600846624
251,2017/6/15,sh.600519,475,475.48,464,464.3,5020280,2347172384
252,2017/6/16,sh.600519,461.5,467.49,461.26,462.63,3333180,1544955952
253,2017/6/19,sh.600519,461.96,470.39,461.96,470.17,3853668,1803585248
254,2017/6/20,sh.600519,473,474.88,465.66,466.3,3450539,1614858144
255,2017/6/21,sh.600519,469.55,473,466.03,472.71,4203854,1974672848
256,2017/6/22,sh.600519,473.02,477.93,471.2,472.75,3824234,1815684368
257,2017/6/23,sh.600519,472.86,474.88,468.33,472.73,3130362,1473803776
258,2017/6/26,sh.600519,473.01,485,472,484.68,5293257,2536430496
259,2017/6/27,sh.600519,482.82,485,480.85,484.1,2798078,1350476768
260,2017/6/28,sh.600519,484.09,484.09,473,475.3,3772874,1799676816
261,2017/6/29,sh.600519,476.3,477.35,470,473.01,3509272,1657994400
262,2017/6/30,sh.600519,471.51,474.16,467.8,471.85,2242717,1056424784
263,2017/7/3,sh.600519,474.2,474.2,457.9,460.37,4962853,2298656464
264,2017/7/4,sh.600519,458.96,460,449,451.92,5648895,2563886384
265,2017/7/5,sh.600519,453.01,460.33,453.01,460.13,3754032,1718844528
266,2017/7/6,sh.600519,458.11,460.2,450.6,455.98,4204439,1913037504
267,2017/7/7,sh.600519,451.05,451.1,441.2,445.97,3779647,1681450720
268,2017/7/10,sh.600519,446.88,454.9,442.97,454.47,3662409,1648443664
269,2017/7/11,sh.600519,454.5,464.58,454,463.13,4460182,2054854496
270,2017/7/12,sh.600519,465.8,465.99,455,457.47,2895072,1330327920
271,2017/7/13,sh.600519,455.35,461.91,453.68,456.16,2595135,1183440448
272,2017/7/14,sh.600519,456.25,458.76,453.05,456.41,1772657,806510272
273,2017/7/17,sh.600519,457.04,458.04,446.28,450.07,3526368,1595292992
274,2017/7/18,sh.600519,451.99,453.99,448,452.55,3068449,1384468256
275,2017/7/19,sh.600519,454,463.62,452.8,456.86,5625994,2574934656
276,2017/7/20,sh.600519,455.86,466.89,455.86,466.47,4663487,2160731536
277,2017/7/21,sh.600519,466.96,475.01,463.66,473.2,4679241,2207195744
278,2017/7/24,sh.600519,474.88,485.35,474.88,477.8,4271643,2052709808
279,2017/7/25,sh.600519,482.2,482.8,476.1,477.96,2192999,1051446096
280,2017/7/26,sh.600519,478.05,481.63,466.56,471.63,3147018,1487729152
281,2017/7/27,sh.600519,471.63,475.85,471.1,473.87,1959503,928077232
282,2017/7/28,sh.600519,471,484.07,467.71,483.92,4661877,2235811536
